job_id,title,company,location,employment_type,salary_min,salary_max,posting_date,job_url,status,source,recruiter,contact,last_activity,next_step,fit_score,priority,notes
1,VP Advisor Engagement,Osaic,"Scottsdale, AZ",Full-Time,180000,220000,2026-06-26,https://careers.osaic.com,Applied,LinkedIn,,,2026-06-27,Await recruiter review,95,High,"Application submitted on 6/27."
2,Director of Operations,QTI / Resonant,Remote,Full-Time,170000,210000,2026-06-20,,Recruiter Interview Completed,Recruiter,Outside Recruiter,,2026-06-27,Await COO interview scheduling,97,High,"Excellent fit. Recruiter interview completed."
3,Head of Platform,Wellington,Remote,Full-Time,190000,230000,2026-06-23,,Referred,Internal Referral,,Internal Contact,2026-06-27,Await recruiter outreach,96,High,"Resume delivered directly to recruiter by internal contact."
4,Director Wealth Operations,Wilmington Trust,Remote,Full-Time,170000,210000,,https://careers.wilmingtontrust.com,Referred,Internal Referral,Recruiter,Internal Contact,2026-06-26,Await recruiter outreach,93,High,"Referral confirmed."
5,Executive Director Regional Client Service Manager,JPMorgan Chase,Dallas TX,Full-Time,180000,220000,,https://careers.jpmorganchase.com,Applied,Company Career Site,,,2026-06-12,Await recruiter response,91,Medium,"Executive wealth management leadership role."
6,Client Services Director,TIAA,Dallas TX,Full-Time,150000,180000,,https://careers.tiaa.org,Closed,Company Career Site,,,2026-06-27,None,90,Closed,"Interview process completed. Rejected."
7,VP Client Service & Advisor Experience,State Street,Dallas TX,Full-Time,160000,175000,,https://careers.statestreet.com,Closed,Company Career Site,,,2026-05-15,None,94,Closed,"Interview process completed."
8,VP Client Service,AssetMark,Remote,Full-Time,170000,210000,,https://careers.assetmark.com,Closed,LinkedIn,,,2026-05-01,None,92,Closed,"Interview process completed."
9,Executive Leadership Role,Charles Schwab,Westlake TX,Full-Time,165000,195000,,https://www.schwabjobs.com,Closed,Company Career Site,,,2026-06-24,None,88,Closed,"Application declined."
10,Director Advisor Services,First Command,Fort Worth TX,Full-Time,150000,180000,,https://careers.firstcommand.com,Closed,Company Career Site,,,2026-04-30,None,89,Closed,"Interview process completed."
